Project ID,Risk ID,Risk Level,Impact Date,Owner,Status,Risk Category,Date Identified,Mitigation Plan,Probability,Last Updated
PRJ015,RISK001,Critical,7,Michelle Marshall,Mitigated,Resource,2024-12-18,This is the mitigation plan.,56,2025-02-08
PRJ012,RISK002,High,10,Karen Burns,In Progress,Technical,2025-01-30,This is the mitigation plan.,25,2025-03-23
PRJ011,RISK003,Critical,16,Robert Jacobs,Mitigated,Schedule,2025-03-07,This is the mitigation plan.,51,2025-04-17
PRJ014,RISK004,Critical,11,Lydia Park,Open,Technical,2025-02-05,This is the mitigation plan.,18,2025-03-25
PRJ018,RISK005,Low,11,Lydia Park,Mitigated,External,2024-12-23,This is the mitigation plan.,29,2025-03-28
PRJ020,RISK006,Low,28,Cindy Roberts,Closed,External,2025-01-28,This is the mitigation plan.,77,2024-12-24
PRJ015,RISK007,Medium,22,Ms. Janet Harris,In Progress,Technical,2025-02-19,This is the mitigation plan.,36,2025-03-14
PRJ016,RISK008,High,7,Linda Jones,Closed,Technical,2025-03-28,This is the mitigation plan.,51,2025-03-08
PRJ010,RISK009,Critical,4,Lisa Walsh,In Progress,Resource,2024-12-30,This is the mitigation plan.,93,2025-02-17
PRJ005,RISK010,Critical,9,Karen Burns,In Progress,Resource,2025-03-20,This is the mitigation plan.,18,2025-04-17
PRJ008,RISK011,Critical,18,Lydia Park,Closed,External,2025-01-20,This is the mitigation plan.,59,2025-01-27
PRJ016,RISK012,High,30,Jason Hernandez,In Progress,Technical,2025-03-19,This is the mitigation plan.,74,2025-05-09
PRJ019,RISK013,Low,13,Karen Burns,Closed,Schedule,2025-02-08,This is the mitigation plan.,62,2025-04-08
PRJ015,RISK014,Medium,8,Lisa Walsh,In Progress,Technical,2025-03-15,This is the mitigation plan.,44,2025-03-17
PRJ001,RISK008,High,30,Michelle Marshall,In Progress,Resource,2025-02-17,This is the mitigation plan.,16,2025-04-21
PRJ017,RISK016,Medium,3,Karen Burns,Open,Resource,2025-03-02,This is the mitigation plan.,10,2025-03-17
PRJ006,RISK017,High,21,Lisa Walsh,Open,Schedule,2025-01-25,This is the mitigation plan.,37,2025-04-14
PRJ017,RISK018,Medium,19,Lydia Park,Mitigated,External,2025-04-14,This is the mitigation plan.,29,2025-03-19
PRJ002,RISK019,Critical,23,Michelle Marshall,Mitigated,Schedule,2025-02-05,This is the mitigation plan.,20,2025-04-14
PRJ004,RISK020,Critical,9,Linda Jones,Open,Schedule,2024-12-20,This is the mitigation plan.,23,2025-03-19
PRJ016,RISK021,High,15,Karen Burns,In Progress,Resource,2025-03-25,This is the mitigation plan.,61,2025-03-23
PRJ007,RISK022,Medium,14,Lisa Walsh,In Progress,Schedule,2025-04-14,This is the mitigation plan.,21,2025-05-08
PRJ015,RISK023,Medium,3,Michelle Marshall,Open,Schedule,2025-02-17,This is the mitigation plan.,25,2025-03-07
PRJ021,RISK024,High,9,Lisa Walsh,Mitigated,Schedule,2025-11-08,This is the mitigation plan.,53,2025-02-09
PRJ008,RISK025,Low,29,Lisa Walsh,In Progress,Technical,2025-09-24,This is the mitigation plan.,99,2025-05-17
PRJ005,RISK026,Medium,30,Jason Hernandez,In Progress,Technical,2025-04-22,This is the mitigation plan.,36,2025-04-14
PRJ014,RISK027,Medium,11,Karen Burns,Open,Resource,2025-10-13,This is the mitigation plan.,28,2025-12-03
PRJ025,RISK028,High,4,Michelle Marshall,In Progress,External,2025-08-29,This is the mitigation plan.,17,2025-10-02
PRJ003,RISK029,Low,5,Robert Jacobs,Closed,Resource,2025-09-22,This is the mitigation plan.,28,2025-10-22
PRJ018,RISK030,Medium,25,Michelle Marshall,Open,Resource,2025-05-30,This is the mitigation plan.,34,2025-07-18
PRJ002,RISK031,Low,27,Karen Burns,In Progress,Resource,2025-07-05,This is the mitigation plan.,49,2025-10-27
PRJ025,RISK032,Medium,18,Robert Jacobs,Closed,External,2025-11-12,This is the mitigation plan.,52,2025-12-05
PRJ001,RISK033,Critical,3,Jason Hernandez,Mitigated,External,2025-03-14,This is the mitigation plan.,53,2025-05-15
PRJ012,RISK034,Critical,14,Lydia Park,In Progress,Technical,2025-06-12,This is the mitigation plan.,82,2025-07-01
PRJ008,RISK035,Low,22,Michelle Marshall,Open,Resource,2025-01-05,This is the mitigation plan.,25,2025-04-11
PRJ025,RISK036,High,8,Jason Hernandez,Mitigated,External,2025-09-20,This is the mitigation plan.,68,2025-10-18
PRJ016,RISK037,Medium,19,Karen Burns,Closed,Schedule,2025-04-15,This is the mitigation plan.,69,2025-05-30
PRJ001,RISK038,Critical,5,Lisa Walsh,In Progress,Technical,2025-07-28,This is the mitigation plan.,36,2025-11-02
PRJ017,RISK039,Medium,27,Robert Jacobs,Open,Resource,2025-07-28,This is the mitigation plan.,22,2025-10-11
PRJ014,RISK040,High,11,Linda Jones,Closed,External,2025-10-05,This is the mitigation plan.,58,2025-10-29
PRJ021,RISK041,Low,16,Cindy Roberts,Mitigated,Schedule,2025-03-18,This is the mitigation plan.,11,2025-04-08
PRJ015,RISK042,Critical,30,Karen Burns,In Progress,Technical,2025-08-02,This is the mitigation plan.,60,2028-12-09
PRJ003,RISK043,Medium,12,Jason Hernandez,Open,Resource,2025-05-14,This is the mitigation plan.,89,2025-08-24
PRJ012,RISK044,High,14,Karen Burns,In Progress,Technical,2024-05-12,This is the mitigation plan.,56,2024-11-02
PRJ015,RISK045,Critical,28,Michelle Marshall,Mitigated,Resource,2024-10-05,This is the mitigation plan.,55,2024-12-11
PRJ008,RISK046,Low,9,Lisa Walsh,Open,Schedule,2025-01-18,This is the mitigation plan.,12,2025-05-05
PRJ025,RISK047,Medium,11,Jason Hernandez,Closed,External,2024-03-22,This is the mitigation plan.,85,2025-01-12
PRJ001,RISK048,Critical,23,Robert Jacobs,In Progress,Technical,2025-02-03,This is the mitigation plan.,78,2025-06-28
PRJ018,RISK049,Medium,7,Lydia Park,Open,Resource,2025-02-10,This is the mitigation plan.,75,2025-03-30
PRJ014,RISK050,High,30,Linda Jones,Closed,External,2024-11-02,This is the mitigation plan.,36,2024-12-8
PRJ020,RISK051,Low,16,Cindy Roberts,Mitigated,Schedule,2025-04-05,This is the mitigation plan.,52,2025-06-06
PRJ017,RISK052,Critical,5,Ms. Janet Harris,In Progress,Technical,2024-02-14,This is the mitigation plan.,68,2025-01-18
PRJ003,RISK053,Medium,19,Karen Burns,Open,Resource,2025-03-01,This is the mitigation plan.,42,2025-04-24
PRJ011,RISK054,Low,12,Lisa Walsh,Closed,Schedule,2024-06-15,This is the mitigation plan.,13,2024-08-05
PRJ016,RISK055,High,26,Jason Hernandez,Mitigated,Technical,2024-09-21,This is the mitigation plan.,28,2024-12-22
PRJ010,RISK056,Critical,4,Michelle Marshall,In Progress,Resource,2025-01-10,This is the mitigation plan.,33,2025-08-11
PRJ005,RISK057,Medium,18,Robert Jacobs,Open,External,2024-04-02,This is the mitigation plan.,59,2024-05-28
PRJ019,RISK058,Low,29,Lydia Park,Closed,Technical,2024-11-15,This is the mitigation plan.,86,2025-04-19
PRJ021,RISK059,High,8,Linda Jones,In Progress,Schedule,2025-02-20,This is the mitigation plan.,95,2025-03-02
PRJ002,RISK060,Critical,15,Cindy Roberts,Mitigated,External,2024-08-12,This is the mitigation plan.,92,2025-08-12
PRJ007,RISK061,Medium,22,Ms. Janet Harris,Open,Resource,2025-03-15,This is the mitigation plan.,45,2025-04-08
PRJ014,RISK062,High,3,Karen Burns,Closed,Technical,2024-05-30,This is the mitigation plan.,44,2024-11-16
PRJ015,RISK063,Low,10,Lisa Walsh,In Progress,Schedule,2024-10-18,This is the mitigation plan.,72,2024-12-16
PRJ004,RISK064,Critical,25,Jason Hernandez,Mitigated,Resource,2025-01-05,This is the mitigation plan.,65,2025-10-07
PRJ012,RISK065,Medium,13,Michelle Marshall,Open,External,2024-03-14,This is the mitigation plan.,55,2024-05-02
PRJ025,RISK066,Low,21,Robert Jacobs,Closed,Technical,2024-03-14,This is the mitigation plan.,29,2024-06-15
PRJ016,RISK067,High,17,Lydia Park,In Progress,Schedule,2025-02-11,This is the mitigation plan.,10,2025-08-08
PRJ001,RISK068,Critical,6,Linda Jones,Mitigated,Resource,2024-12-01,This is the mitigation plan.,5,2025-03-28
PRJ020,RISK069,Medium,30,Cindy Roberts,Open,Technical,2025-01-25,This is the mitigation plan.,36,2025-05-16
PRJ017,RISK070,High,9,Ms. Janet Harris,Closed,Schedule,2025-09-05,This is the mitigation plan.,58,2025-12-01
PRJ006,RISK071,Low,11,Karen Burns,In Progress,Resource,2025-03-20,This is the mitigation plan.,67,2025-04-17
PRJ008,RISK072,Critical,27,Lisa Walsh,Mitigated,External,2025-11-22,This is the mitigation plan.,48,2025-12-25
PRJ003,RISK073,Medium,16,Jason Hernandez,Open,Technical,2025-01-15,This is the mitigation plan.,91,2025-06-30
PRJ011,RISK074,High,2,Michelle Marshall,Closed,Schedule,2025-04-10,This is the mitigation plan.,1,2025-05-31
PRJ018,RISK075,Low,24,Robert Jacobs,In Progress,External,2024-08-29,This is the mitigation plan.,24,2024-12-12
PRJ010,RISK076,Critical,19,Lydia Park,Mitigated,Resource,2025-02-05,This is the mitigation plan.,67,2025-08-27
PRJ005,RISK077,Medium,5,Linda Jones,Open,Technical,2024-05-14,This is the mitigation plan.,58,2024-05-09
PRJ019,RISK078,Low,12,Cindy Roberts,Closed,Schedule,2024-10-09,This is the mitigation plan.,39,2025-01-12
PRJ021,RISK079,High,28,Ms. Janet Harris,In Progress,Resource,2025-03-12,This is the mitigation plan.,35,2025-04-01
PRJ002,RISK080,Critical,7,Karen Burns,Mitigated,External,2025-03-01,This is the mitigation plan.,85,2025-05-15
PRJ007,RISK081,Medium,20,Lisa Walsh,Open,Technical,2025-01-28,This is the mitigation plan.,94,2025-03-08
PRJ015,RISK082,High,14,Jason Hernandez,In Progress,Schedule,2025-12-12,This is the mitigation plan.,82,2025-12-28
PRJ004,RISK083,Low,1,Michelle Marshall,Mitigated,External,2024-02-20,This is the mitigation plan.,25,2024-10-19
PRJ012,RISK084,Critical,23,Robert Jacobs,Open,Resource,2025-09-14,This is the mitigation plan.,11,2025-11-14
PRJ025,RISK085,Medium,11,Lydia Park,Closed,Technical,2025-02-27,This is the mitigation plan.,45,2025-03-15
PRJ016,RISK086,Low,9,Linda Jones,In Progress,Schedule,2024-02-27,This is the mitigation plan.,62,2024-09-11
PRJ001,RISK087,High,30,Cindy Roberts,Mitigated,Resource,2024-06-02,This is the mitigation plan.,39,2025-04-12
PRJ020,RISK088,Critical,15,Ms. Janet Harris,Open,External,2024-10-30,This is the mitigation plan.,66,2024-12-18
PRJ017,RISK089,Medium,4,Karen Burns,Closed,Technical,2025-03-08,This is the mitigation plan.,21,2025-06-07
PRJ006,RISK090,Low,18,Lisa Walsh,In Progress,Schedule,2024-04-15,This is the mitigation plan.,25,2024-07-12
PRJ008,RISK091,High,26,Jason Hernandez,Mitigated,External,2025-08-05,This is the mitigation plan.,19,2025-09-03
PRJ003,RISK092,Critical,13,Michelle Marshall,Open,Resource,2025-01-22,This is the mitigation plan.,4,2025-04-24
PRJ011,RISK093,Medium,8,Robert Jacobs,Closed,Technical,2024-11-11,This is the mitigation plan.,79,2025-02-13
PRJ018,RISK094,Low,22,Lydia Park,In Progress,Schedule,2025-05-25,This is the mitigation plan.,62,2025-09-09
PRJ010,RISK095,Low,5,Linda Jones,Mitigated,Resource,2025-02-14,This is the mitigation plan.,38,2025-08-25
PRJ005,RISK096,Medium,17,Cindy Roberts,Open,External,2025-07-02,This is the mitigation plan.,99,2025-09-02
PRJ019,RISK097,Critical,20,Ms. Janet Harris,Closed,Technical,2024-08-08,This is the mitigation plan.,51,2025-05-16
PRJ021,RISK098,Medium,10,Karen Burns,Closed,Technical,2025-09-06,This is the mitigation plan.,38,2025-10-09